date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-24,2646.0,189973.0,464,25549,95273.0,1147850.0,3142.0320272155845,422.5641341839681,18984.70552362393
2020-04-25,3021.0,192994.0,420,25969,38676.0,1186526.0,3191.99743679599,429.5106658038854,19624.381849652313
2020-04-26,2357.0,195351.0,415,26384,24113.0,1210639.0,3230.9807106725257,436.37450061880367,20023.195461440562
2020-04-27,2324.0,197675.0,260,26644,26678.0,1237317.0,3269.418185636068,440.67473447875244,20464.43253419331
2020-04-28,1739.0,199414.0,333,26977,37554.0,1274871.0,3298.180134414725,446.1823416916869,21085.55169717991
2020-04-29,2091.0,201505.0,382,27359,38589.0,1313460.0,3332.7639382653133,452.50037759361163,21723.789098801313
2020-04-30,2086.0,203591.0,323,27682,41441.0,1354901.0,3367.2650453109027,457.842591196548,22409.196757994152
2020-05-01,1872.0,205463.0,285,27967,43732.0,1398633.0,3398.226729102534,462.55630908149186,23132.49609323754
2020-05-02,1965.0,207428.0,269,28236,31231.0,1429864.0,3430.726573467147,467.0053971904389,23649.036876622387
2020-05-03,1900.0,209328.0,474,28710,27047.0,1456911.0,3462.151359366773,474.8450543043455,24096.37697358406
2020-05-04,1389.0,210717.0,174,28884,22999.0,1479910.0,3485.124531795499,477.72290311831125,24476.76573721853
2020-05-05,1221.0,211938.0,195,29079,32211.0,1512121.0,3505.319091576259,480.9480785132729,25009.515094383187
2020-05-06,1075.0,213013.0,236,29315,37771.0,1549892.0,3523.0989046510467,484.8513677092264,25634.223298706747
2020-05-07,1444.0,214457.0,369,29684,13665.0,1563557.0,3546.9817419347623,490.9543919181537,25860.233666769058
2020-05-08,1401.0,215858.0,274,29958,45428.0,1608985.0,3570.1533866954865,495.4861768320998,26611.58375826811
2020-05-09,1327.0,217185.0,243,30201,36091.0,1645076.0,3592.1011187422255,499.5052415550519,27208.505836112003
2020-05-10,1083.0,218268.0,194,30395,31384.0,1676460.0,3610.013246705012,502.7138775890137,27727.57714172982
2020-05-11,802.0,219070.0,165,30560,25823.0,1702283.0,3623.277814226854,505.44287215398117,28154.673060827736
2020-05-12,744.0,219814.0,179,30739,39620.0,1741903.0,3635.5830988107073,508.40341777294594,28809.96254363993
2020-05-13,1402.0,221216.0,172,30911,37049.0,1778952.0,3658.7712829324314,511.24818786491204,29422.729329321635
2020-05-14,888.0,222104.0,195,31106,41131.0,1820083.0,3673.4582355002563,514.4733632598736,30103.009786604533
2020-05-15,992.0,223096.0,262,31368,39027.0,1859110.0,3689.865281612061,518.8066758418221,30748.49142834385
2020-05-16,789.0,223885.0,242,31610,40657.0,1899767.0,3702.9148374409056,522.8092012037744,31420.93222851284
2020-05-17,875.0,224760.0,153,31763,33505.0,1933272.0,3717.3867783157334,525.3397234367443,31975.08351881124
2020-05-18,675.0,225435.0,145,31908,26101.0,1959373.0,3728.5508469906003,527.7379307817157,32406.7773802671
2020-05-19,451.0,225886.0,99,32007,40226.0,1999599.0,3736.0100988015115,529.3753275206961,33072.08971584518
2020-05-20,813.0,226699.0,162,32169,38617.0,2038216.0,3749.4565992943517,532.0547040026643,33710.79021957457
2020-05-21,665.0,227364.0,161,32330,40644.0,2078860.0,3760.4552743592203,534.7175411236326,34383.01600805057
2020-05-22,642.0,228006.0,156,32486,42987.0,2121847.0,3771.073544121094,537.2976814396019,35093.993519349104
2020-05-23,652.0,228658.0,130,32616,42579.0,2164426.0,3781.8572074929657,539.4477983695763,35798.22297135971
2020-05-24,669.0,229327.0,119,32735,34206.0,2198632.0,3792.922040001834,541.4159823285528,36363.96835371898
2020-05-25,531.0,229858.0,50,32785,20676.0,2219308.0,3801.7044406927293,542.242950378543,36705.936181750905
2020-05-26,300.0,230158.0,92,32877,33944.0,2253252.0,3806.6662489926703,543.7645715905248,37267.34825152822
2020-05-27,397.0,230555.0,78,32955,37299.0,2290551.0,3813.232375309592,545.0546417485095,37884.24987745987
2020-05-28,584.0,231139.0,117,33072,39838.0,2330389.0,3822.891362133477,546.9897469854865,38543.14494097003
2020-05-29,593.0,231732.0,70,33142,38233.0,2368622.0,3832.6992032063604,548.1475022554727,39175.4943300755
2020-05-30,516.0,232248.0,87,33229,36051.0,2404673.0,3841.233513482259,549.5864266624556,39771.7548334794
2020-05-31,416.0,232664.0,111,33340,28948.0,2433621.0,3848.1138876581767,551.4222957334337,40250.5362557017
2020-06-01,355.0,233019.0,75,33415,18053.0,2451674.0,3853.9853608131066,552.6627478084189,40549.12133983114
2020-06-02,178.0,233197.0,60,33475,25628.0,2477302.0,3856.9293670710717,553.6551094684071,40972.992083534096
2020-06-03,318.0,233515.0,55,33530,20035.0,2497337.0,3862.1888838690093,554.5647743233963,41304.358181165146
2020-06-04,321.0,233836.0,71,33601,27451.0,2524788.0,3867.498018749946,555.7390689543822,41758.38017997074
2020-06-05,177.0,234013.0,88,33689,40470.0,2565258.0,3870.425485646911,557.1945327223649,42427.72811963277
2020-06-06,518.0,234531.0,85,33774,34036.0,2599294.0,3878.992874644809,558.6003784073482,42990.66181062207
2020-06-07,270.0,234801.0,72,33846,27894.0,2627188.0,3883.458502114756,559.791212399334,43452.01074635057
2020-06-08,197.0,234998.0,53,33899,16301.0,2643489.0,3886.7167562317168,560.6677985323236,43721.618870008366
2020-06-09,280.0,235278.0,65,33964,32200.0,2675689.0,3891.347777311662,561.7428569973108,44254.18629420202
2020-06-10,283.0,235561.0,79,34043,37865.0,2713554.0,3896.0284164746063,563.0494665162952,44880.449198459566
2020-06-11,202.0,235763.0,71,34114,32991.0,2746545.0,3899.3693673965663,564.2237611472813,45426.09925720406
